,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart,Percent Occupancy,Percent Vaccinated
0,36,0.0,0.01803213577186813,36,294.0,0,1.0,0.12244897959183673,0.0
1,36,0.0,0.022992778785059453,36,294.0,0,1.0,0.12244897959183673,0.0
2,36,0.0,0.009309318154342883,36,294.0,0,1.0,0.12244897959183673,0.0
3,36,0.0,0.02689466284075448,36,294.0,0,1.0,0.12244897959183673,0.0
4,36,0.0,0.06146907228521381,36,294.0,0,1.0,0.12244897959183673,0.0
5,36,0.0,0.00749553966936356,36,294.0,0,1.0,0.12244897959183673,0.0
6,36,0.0,0.024354476609358633,36,294.0,0,1.0,0.12244897959183673,0.0
7,36,0.0,0.016685894464346207,36,294.0,0,1.0,0.12244897959183673,0.0
8,36,0.0,0.009883880540268453,36,294.0,0,1.0,0.12244897959183673,0.0
9,36,0.0,0.01457039293526996,36,294.0,0,1.0,0.12244897959183673,0.0
10,36,0.0,0.012976025870344854,36,294.0,0,1.0,0.12244897959183673,0.0
11,36,0.0,0.022516574802888156,36,294.0,0,1.0,0.12244897959183673,0.0
12,36,0.0,0.015907354039108923,36,294.0,0,1.0,0.12244897959183673,0.0
13,36,0.0,0.017505192278609027,36,294.0,0,1.0,0.12244897959183673,0.0
14,36,0.0,0.008548517878291695,36,294.0,0,1.0,0.12244897959183673,0.0
15,36,0.0,0.006875005285338354,36,294.0,0,1.0,0.12244897959183673,0.0
16,36,0.0,0.03355284582969953,36,294.0,0,1.0,0.12244897959183673,0.0
17,36,0.0,0.020556247825160967,36,294.0,0,1.0,0.12244897959183673,0.0
18,36,0.0,0.005251243792038562,36,294.0,0,1.0,0.12244897959183673,0.0
19,36,0.0,0.009289016643996728,36,294.0,0,1.0,0.12244897959183673,0.0
20,36,0.0,0.006531866330148461,36,294.0,0,1.0,0.12244897959183673,0.0
21,36,0.0,0.0088965093097505,36,294.0,0,1.0,0.12244897959183673,0.0
22,36,0.0,0.006218508469371664,36,294.0,0,1.0,0.12244897959183673,0.0
23,36,0.0,0.00048017469024941306,36,294.0,0,1.0,0.12244897959183673,0.0
24,36,0.0,0.03388034111492211,36,294.0,0,1.0,0.12244897959183673,0.0
25,36,0.0,0.02126253757593699,36,294.0,0,1.0,0.12244897959183673,0.0
26,36,0.0,0.021572846201672213,36,294.0,0,1.0,0.12244897959183673,0.0
27,36,0.0,0.034735800413766005,36,294.0,0,1.0,0.12244897959183673,0.0
28,36,0.0,0.005510038504457859,36,294.0,0,1.0,0.12244897959183673,0.0
29,36,0.0,0.014859891061616337,36,294.0,0,1.0,0.12244897959183673,0.0
30,36,0.0,0.010667439270666934,36,294.0,0,1.0,0.12244897959183673,0.0
31,36,0.0,0.011352846451840537,36,294.0,0,1.0,0.12244897959183673,0.0
32,36,0.0,0.02411647043821996,36,294.0,0,1.0,0.12244897959183673,0.0
33,36,0.0,0.05609388380210345,36,294.0,0,1.0,0.12244897959183673,0.0
34,36,0.0,0.010028684693535683,36,294.0,0,1.0,0.12244897959183673,0.0
35,36,0.0,0.010874165256349433,36,294.0,0,1.0,0.12244897959183673,0.0
36,36,0.0,0.004741697000912204,36,294.0,0,1.0,0.12244897959183673,0.0
37,36,0.0,0.024134408285878983,36,294.0,0,1.0,0.12244897959183673,0.0
38,36,0.0,0.011702536002329178,36,294.0,0,1.0,0.12244897959183673,0.0
39,36,0.0,0.018510413585153263,36,294.0,0,1.0,0.12244897959183673,0.0
40,36,0.0,0.021430169880040983,36,294.0,0,1.0,0.12244897959183673,0.0
41,36,0.0,0.021849503531461645,36,294.0,0,1.0,0.12244897959183673,0.0
42,36,0.0,0.006991125278042132,36,294.0,0,1.0,0.12244897959183673,0.0
43,36,0.0,0.052746250369480774,36,294.0,0,1.0,0.12244897959183673,0.0
44,36,0.0,0.027965106452070176,36,294.0,0,1.0,0.12244897959183673,0.0
45,36,0.0,0.06346150667648054,36,294.0,0,1.0,0.12244897959183673,0.0
46,36,0.0,0.013234175446090068,36,294.0,0,1.0,0.12244897959183673,0.0
47,36,0.0,0.02118354558468072,36,294.0,0,1.0,0.12244897959183673,0.0
48,36,0.0,0.01116688792562126,36,294.0,0,1.0,0.12244897959183673,0.0
49,36,0.0,0.011561329606849524,36,294.0,0,1.0,0.12244897959183673,0.0
50,36,0.1,0.011652811930527807,32,294.0,0,1.0,0.12244897959183673,0.1
51,36,0.1,0.014544416374396296,32,294.0,0,1.0,0.12244897959183673,0.1
52,36,0.1,0.012999404166145534,32,294.0,0,1.0,0.12244897959183673,0.1
53,36,0.1,0.014436436609079006,32,294.0,0,1.0,0.12244897959183673,0.1
54,36,0.1,0.025348249324679606,32,294.0,0,1.0,0.12244897959183673,0.1
55,36,0.1,0.017412067090474687,32,294.0,0,1.0,0.12244897959183673,0.1
56,36,0.1,0.01778492030528739,32,294.0,0,1.0,0.12244897959183673,0.1
57,36,0.1,0.0038232327911366937,32,294.0,0,1.0,0.12244897959183673,0.1
58,36,0.1,0.06353704681782152,32,294.0,0,1.0,0.12244897959183673,0.1
59,36,0.1,0.046467855080211506,32,294.0,0,1.0,0.12244897959183673,0.1
60,36,0.1,0.03408980174518214,32,294.0,0,1.0,0.12244897959183673,0.1
61,36,0.1,0.023488437750384866,32,294.0,0,1.0,0.12244897959183673,0.1
62,36,0.1,0.031343517530612514,32,294.0,0,1.0,0.12244897959183673,0.1
63,36,0.1,0.015018392790779017,32,294.0,0,1.0,0.12244897959183673,0.1
64,36,0.1,0.041051492320165806,32,294.0,0,1.0,0.12244897959183673,0.1
65,36,0.1,0.006346392709366766,32,294.0,0,1.0,0.12244897959183673,0.1
66,36,0.1,0.014012208862925452,32,294.0,0,1.0,0.12244897959183673,0.1
67,36,0.1,0.015786638950564147,32,294.0,0,1.0,0.12244897959183673,0.1
68,36,0.1,0.0031442085583083257,32,294.0,0,1.0,0.12244897959183673,0.1
69,36,0.1,0.015722805770410853,32,294.0,0,1.0,0.12244897959183673,0.1
70,36,0.1,0.02297511418898987,32,294.0,0,1.0,0.12244897959183673,0.1
71,36,0.1,0.021049796563883172,32,294.0,0,1.0,0.12244897959183673,0.1
72,36,0.1,0.04227937013841063,32,294.0,0,1.0,0.12244897959183673,0.1
73,36,0.1,0.008656705273247994,32,294.0,0,1.0,0.12244897959183673,0.1
74,36,0.1,0.031721991487489304,32,294.0,0,1.0,0.12244897959183673,0.1
75,36,0.1,0.008632340591854304,32,294.0,0,1.0,0.12244897959183673,0.1
76,36,0.1,0.03987893808500889,32,294.0,0,1.0,0.12244897959183673,0.1
77,36,0.1,0.04205468008850821,32,294.0,0,1.0,0.12244897959183673,0.1
78,36,0.1,0.0024227157837198865,32,294.0,0,1.0,0.12244897959183673,0.1
79,36,0.1,0.03986855512330342,32,294.0,0,1.0,0.12244897959183673,0.1
80,36,0.1,0.013170921706238126,32,294.0,0,1.0,0.12244897959183673,0.1
81,36,0.1,0.015640949890402822,32,294.0,0,1.0,0.12244897959183673,0.1
82,36,0.1,0.011281008914327095,32,294.0,0,1.0,0.12244897959183673,0.1
83,36,0.1,0.006655981261459637,32,294.0,0,1.0,0.12244897959183673,0.1
84,36,0.1,0.005526535167016983,32,294.0,0,1.0,0.12244897959183673,0.1
85,36,0.1,0.017606478280878357,32,294.0,0,1.0,0.12244897959183673,0.1
86,36,0.1,0.015517854457182234,32,294.0,0,1.0,0.12244897959183673,0.1
87,36,0.1,0.007475553001795809,32,294.0,0,1.0,0.12244897959183673,0.1
88,36,0.1,0.01649141330565887,32,294.0,0,1.0,0.12244897959183673,0.1
89,36,0.1,0.000230406852127496,32,294.0,0,1.0,0.12244897959183673,0.1
90,36,0.1,0.0040532629188969604,32,294.0,0,1.0,0.12244897959183673,0.1
91,36,0.1,0.0024354240781422065,32,294.0,1,1.0,0.12244897959183673,0.1
92,36,0.1,0.05362163551513596,32,294.0,0,1.0,0.12244897959183673,0.1
93,36,0.1,7.049106974865715e-05,32,294.0,0,1.0,0.12244897959183673,0.1
94,36,0.1,0.005732153258294709,32,294.0,0,1.0,0.12244897959183673,0.1
95,36,0.1,0.016448788825109473,32,294.0,0,1.0,0.12244897959183673,0.1
96,36,0.1,0.004599754560239866,32,294.0,0,1.0,0.12244897959183673,0.1
97,36,0.1,0.012465102241377063,32,294.0,0,1.0,0.12244897959183673,0.1
98,36,0.1,0.008002984626725662,32,294.0,0,1.0,0.12244897959183673,0.1
99,36,0.1,0.03748740193263972,32,294.0,0,1.0,0.12244897959183673,0.1
100,36,0.2,0.029760611856727903,29,294.0,0,1.0,0.12244897959183673,0.2
101,36,0.2,0.028126406990371305,29,294.0,0,1.0,0.12244897959183673,0.2
102,36,0.2,0.009106769794562597,29,294.0,0,1.0,0.12244897959183673,0.2
103,36,0.2,0.019893607614616088,29,294.0,0,1.0,0.12244897959183673,0.2
104,36,0.2,0.005367336673602563,29,294.0,0,1.0,0.12244897959183673,0.2
105,36,0.2,0.008801062674855142,29,294.0,0,1.0,0.12244897959183673,0.2
106,36,0.2,0.0026198673093132396,29,294.0,0,1.0,0.12244897959183673,0.2
107,36,0.2,0.04084922650739725,29,294.0,0,1.0,0.12244897959183673,0.2
108,36,0.2,0.01664718757652464,29,294.0,0,1.0,0.12244897959183673,0.2
109,36,0.2,0.03034506427172598,29,294.0,0,1.0,0.12244897959183673,0.2
110,36,0.2,0.00828319374261463,29,294.0,0,1.0,0.12244897959183673,0.2
111,36,0.2,0.006785873211872573,29,294.0,0,1.0,0.12244897959183673,0.2
112,36,0.2,0.006725047511134202,29,294.0,0,1.0,0.12244897959183673,0.2
113,36,0.2,0.0010499514937043208,29,294.0,1,1.0,0.12244897959183673,0.2
114,36,0.2,0.00297222868624078,29,294.0,1,1.0,0.12244897959183673,0.2
115,36,0.2,0.018695686302209497,29,294.0,0,1.0,0.12244897959183673,0.2
116,36,0.2,0.009210780102430066,29,294.0,0,1.0,0.12244897959183673,0.2
117,36,0.2,0.02410664310214597,29,294.0,0,1.0,0.12244897959183673,0.2
118,36,0.2,0.0262052024299588,29,294.0,0,1.0,0.12244897959183673,0.2
119,36,0.2,0.012743368819995576,29,294.0,0,1.0,0.12244897959183673,0.2
120,36,0.2,0.022157816012224024,29,294.0,0,1.0,0.12244897959183673,0.2
121,36,0.2,0.03514614175840655,29,294.0,0,1.0,0.12244897959183673,0.2
122,36,0.2,0.021718502793536515,29,294.0,0,1.0,0.12244897959183673,0.2
