,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart,Percent Occupancy,Percent Vaccinated
0,36,0.0,0.001962881159048524,36,294.0,0,1.0,0.12244897959183673,0.0
1,36,0.0,0.005006229044509314,36,294.0,0,1.0,0.12244897959183673,0.0
2,36,0.0,0.015209394030472168,36,294.0,0,1.0,0.12244897959183673,0.0
3,36,0.0,0.008404765022108407,36,294.0,0,1.0,0.12244897959183673,0.0
4,36,0.0,0.02973386786958776,36,294.0,0,1.0,0.12244897959183673,0.0
5,36,0.0,0.008774493653628812,36,294.0,0,1.0,0.12244897959183673,0.0
6,36,0.0,0.01604494147480917,36,294.0,0,1.0,0.12244897959183673,0.0
7,36,0.0,0.04345697870166787,36,294.0,0,1.0,0.12244897959183673,0.0
8,36,0.0,0.018852833547905568,36,294.0,0,1.0,0.12244897959183673,0.0
9,36,0.0,0.0020247442796132997,36,294.0,0,1.0,0.12244897959183673,0.0
10,36,0.0,0.028958734951357812,36,294.0,0,1.0,0.12244897959183673,0.0
11,36,0.0,0.04233686116340862,36,294.0,0,1.0,0.12244897959183673,0.0
12,36,0.0,0.015482468556258788,36,294.0,0,1.0,0.12244897959183673,0.0
13,36,0.0,0.009927575990933302,36,294.0,0,1.0,0.12244897959183673,0.0
14,36,0.0,0.02167453203138814,36,294.0,0,1.0,0.12244897959183673,0.0
15,36,0.0,0.026657327716170354,36,294.0,0,1.0,0.12244897959183673,0.0
16,36,0.0,0.020677011323403827,36,294.0,0,1.0,0.12244897959183673,0.0
17,36,0.0,0.012408763968971948,36,294.0,0,1.0,0.12244897959183673,0.0
18,36,0.0,0.011938523688718283,36,294.0,0,1.0,0.12244897959183673,0.0
19,36,0.0,0.0013611467355046925,36,294.0,0,1.0,0.12244897959183673,0.0
20,36,0.0,0.012030618877701849,36,294.0,0,1.0,0.12244897959183673,0.0
21,36,0.0,0.006915649199937146,36,294.0,0,1.0,0.12244897959183673,0.0
22,36,0.0,0.0,36,294.0,0,1.0,0.12244897959183673,0.0
23,36,0.0,0.026702756575156195,36,294.0,0,1.0,0.12244897959183673,0.0
24,36,0.0,0.01920304505552295,36,294.0,0,1.0,0.12244897959183673,0.0
25,36,0.0,0.005361492298674553,36,294.0,0,1.0,0.12244897959183673,0.0
26,36,0.0,0.046694720559544045,36,294.0,0,1.0,0.12244897959183673,0.0
27,36,0.0,0.006618458392074089,36,294.0,0,1.0,0.12244897959183673,0.0
28,36,0.0,0.005725128917938416,36,294.0,0,1.0,0.12244897959183673,0.0
29,36,0.0,0.023717818134952884,36,294.0,0,1.0,0.12244897959183673,0.0
30,36,0.0,0.005810501283946556,36,294.0,0,1.0,0.12244897959183673,0.0
31,36,0.0,0.019498583878166942,36,294.0,0,1.0,0.12244897959183673,0.0
32,36,0.0,0.01676397835550303,36,294.0,0,1.0,0.12244897959183673,0.0
33,36,0.0,0.03293573708068387,36,294.0,0,1.0,0.12244897959183673,0.0
34,36,0.0,0.020459084866071953,36,294.0,0,1.0,0.12244897959183673,0.0
35,36,0.0,0.01844241167291749,36,294.0,0,1.0,0.12244897959183673,0.0
36,36,0.0,0.06463617640854546,36,294.0,0,1.0,0.12244897959183673,0.0
37,36,0.0,0.03245875738818449,36,294.0,0,1.0,0.12244897959183673,0.0
38,36,0.0,0.01462197175880453,36,294.0,0,1.0,0.12244897959183673,0.0
39,36,0.0,0.009764057769529044,36,294.0,0,1.0,0.12244897959183673,0.0
40,36,0.0,0.0038337676950327415,36,294.0,0,1.0,0.12244897959183673,0.0
41,36,0.0,0.006435853879833142,36,294.0,0,1.0,0.12244897959183673,0.0
42,36,0.0,0.03518547288256968,36,294.0,0,1.0,0.12244897959183673,0.0
43,36,0.0,0.018038230047979553,36,294.0,0,1.0,0.12244897959183673,0.0
44,36,0.0,0.057045419822233434,36,294.0,0,1.0,0.12244897959183673,0.0
45,36,0.0,0.024779950051077804,36,294.0,0,1.0,0.12244897959183673,0.0
46,36,0.0,0.03833222362046895,36,294.0,0,1.0,0.12244897959183673,0.0
47,36,0.0,0.024891662684318305,36,294.0,0,1.0,0.12244897959183673,0.0
48,36,0.0,0.012610537196539817,36,294.0,0,1.0,0.12244897959183673,0.0
49,36,0.0,0.018613611919576,36,294.0,0,1.0,0.12244897959183673,0.0
50,36,0.0,0.03615894722141144,36,161.0,0,2.0,0.12244897959183673,0.0
51,36,0.0,0.013023761613754292,36,161.0,0,2.0,0.12244897959183673,0.0
52,36,0.0,0.014674351695959542,36,161.0,0,2.0,0.12244897959183673,0.0
53,36,0.0,0.01893317229808744,36,161.0,0,2.0,0.12244897959183673,0.0
54,36,0.0,0.0060015548154234155,36,161.0,0,2.0,0.12244897959183673,0.0
55,36,0.0,0.003000186277149819,36,161.0,0,2.0,0.12244897959183673,0.0
56,36,0.0,0.009024203593353985,36,161.0,0,2.0,0.12244897959183673,0.0
57,36,0.0,0.01856825241565374,36,161.0,0,2.0,0.12244897959183673,0.0
58,36,0.0,0.03055072478499854,36,161.0,0,2.0,0.12244897959183673,0.0
59,36,0.0,0.020809555465085117,36,161.0,0,2.0,0.12244897959183673,0.0
60,36,0.0,0.007929307555026521,36,161.0,0,2.0,0.12244897959183673,0.0
61,36,0.0,0.030470060855962933,36,161.0,0,2.0,0.12244897959183673,0.0
62,36,0.0,0.028784835530555997,36,161.0,0,2.0,0.12244897959183673,0.0
63,36,0.0,0.0009168316768535245,36,161.0,0,2.0,0.12244897959183673,0.0
64,36,0.0,0.01829208994622966,36,161.0,0,2.0,0.12244897959183673,0.0
65,36,0.0,0.006610529423302425,36,161.0,0,2.0,0.12244897959183673,0.0
66,36,0.0,9.854484765825511e-05,36,161.0,0,2.0,0.12244897959183673,0.0
67,36,0.0,0.004917501516909728,36,161.0,0,2.0,0.12244897959183673,0.0
68,36,0.0,0.005704544728435845,36,161.0,0,2.0,0.12244897959183673,0.0
69,36,0.0,0.034205894356945654,36,161.0,0,2.0,0.12244897959183673,0.0
70,36,0.0,0.018760545675241547,36,161.0,0,2.0,0.12244897959183673,0.0
71,36,0.0,0.014433485976063087,36,161.0,0,2.0,0.12244897959183673,0.0
72,36,0.0,0.0219535187482649,36,161.0,0,2.0,0.12244897959183673,0.0
73,36,0.0,0.00032733727850553507,36,161.0,0,2.0,0.12244897959183673,0.0
74,36,0.0,0.031162361501993585,36,161.0,0,2.0,0.12244897959183673,0.0
75,36,0.0,0.004788210876874532,36,161.0,0,2.0,0.12244897959183673,0.0
76,36,0.0,0.011729713827266508,36,161.0,0,2.0,0.12244897959183673,0.0
77,36,0.0,0.013596632730587976,36,161.0,0,2.0,0.12244897959183673,0.0
78,36,0.0,0.014171017268695518,36,161.0,0,2.0,0.12244897959183673,0.0
79,36,0.0,0.01905496878146662,36,161.0,0,2.0,0.12244897959183673,0.0
80,36,0.0,0.03385149520214448,36,161.0,0,2.0,0.12244897959183673,0.0
81,36,0.0,0.014942645424693257,36,161.0,0,2.0,0.12244897959183673,0.0
82,36,0.0,0.013008083204595122,36,161.0,0,2.0,0.12244897959183673,0.0
83,36,0.0,0.02587019040289784,36,161.0,0,2.0,0.12244897959183673,0.0
84,36,0.0,0.02980913207237934,36,161.0,0,2.0,0.12244897959183673,0.0
85,36,0.0,0.012230974100536196,36,161.0,0,2.0,0.12244897959183673,0.0
86,36,0.0,0.027779009500693896,36,161.0,0,2.0,0.12244897959183673,0.0
87,36,0.0,0.011980224551771279,36,161.0,0,2.0,0.12244897959183673,0.0
88,36,0.0,0.016467873828678425,36,161.0,0,2.0,0.12244897959183673,0.0
89,36,0.0,0.01931107656845421,36,161.0,0,2.0,0.12244897959183673,0.0
90,36,0.0,0.02348466045601305,36,161.0,0,2.0,0.12244897959183673,0.0
91,36,0.0,0.02460205163840412,36,161.0,0,2.0,0.12244897959183673,0.0
92,36,0.0,0.02836987679475511,36,161.0,0,2.0,0.12244897959183673,0.0
93,36,0.0,0.02467446004559737,36,161.0,0,2.0,0.12244897959183673,0.0
94,36,0.0,0.02275162479333548,36,161.0,0,2.0,0.12244897959183673,0.0
95,36,0.0,0.013082809836446385,36,161.0,0,2.0,0.12244897959183673,0.0
96,36,0.0,0.02505064806828472,36,161.0,0,2.0,0.12244897959183673,0.0
97,36,0.0,0.0179700125261939,36,161.0,0,2.0,0.12244897959183673,0.0
98,36,0.0,0.02488235115784887,36,161.0,0,2.0,0.12244897959183673,0.0
99,36,0.0,0.021235248862852996,36,161.0,0,2.0,0.12244897959183673,0.0
100,36,0.0,0.025632347202205308,36,148.0,0,3.0,0.12244897959183673,0.0
101,36,0.0,0.020617788781181146,36,148.0,0,3.0,0.12244897959183673,0.0
102,36,0.0,0.007207507244248568,36,148.0,0,3.0,0.12244897959183673,0.0
103,36,0.0,0.000772689364249235,36,148.0,0,3.0,0.12244897959183673,0.0
104,36,0.0,0.012495133610487485,36,148.0,0,3.0,0.12244897959183673,0.0
105,36,0.0,0.016398367132436364,36,148.0,0,3.0,0.12244897959183673,0.0
106,36,0.0,0.01286469370650245,36,148.0,0,3.0,0.12244897959183673,0.0
107,36,0.0,0.008769480306261901,36,148.0,0,3.0,0.12244897959183673,0.0
108,36,0.0,0.01374424920739059,36,148.0,0,3.0,0.12244897959183673,0.0
109,36,0.0,0.021396608694642216,36,148.0,0,3.0,0.12244897959183673,0.0
110,36,0.0,0.02669536838360609,36,148.0,0,3.0,0.12244897959183673,0.0
111,36,0.0,0.028905872245135633,36,148.0,0,3.0,0.12244897959183673,0.0
112,36,0.0,0.01699591866880301,36,148.0,0,3.0,0.12244897959183673,0.0
113,36,0.0,0.021554688433902403,36,148.0,0,3.0,0.12244897959183673,0.0
114,36,0.0,0.03890828138279967,36,148.0,0,3.0,0.12244897959183673,0.0
115,36,0.0,0.01477562739029048,36,148.0,0,3.0,0.12244897959183673,0.0
116,36,0.0,0.017971433471575815,36,148.0,0,3.0,0.12244897959183673,0.0
117,36,0.0,0.01075126538564386,36,148.0,0,3.0,0.12244897959183673,0.0
118,36,0.0,0.0213684538271266,36,148.0,0,3.0,0.12244897959183673,0.0
119,36,0.0,0.02659551122558379,36,148.0,0,3.0,0.12244897959183673,0.0
120,36,0.0,0.03964685011555946,36,148.0,0,3.0,0.12244897959183673,0.0
121,36,0.0,0.03616577208843086,36,148.0,0,3.0,0.12244897959183673,0.0
122,36,0.0,0.015510142152896589,36,148.0,0,3.0,0.12244897959183673,0.0
123,36,0.0,0.013457031369520367,36,148.0,0,3.0,0.12244897959183673,0.0
124,36,0.0,0.012135769341517055,36,148.0,0,3.0,0.12244897959183673,0.0
125,36,0.0,0.019472818411148896,36,148.0,0,3.0,0.12244897959183673,0.0
126,36,0.0,0.03489061310461128,36,148.0,0,3.0,0.12244897959183673,0.0
127,36,0.0,0.02309308844605673,36,148.0,0,3.0,0.12244897959183673,0.0
128,36,0.0,0.034275197546878466,36,148.0,0,3.0,0.12244897959183673,0.0
129,36,0.0,0.014675778361364022,36,148.0,0,3.0,0.12244897959183673,0.0
130,36,0.0,0.021208911382918694,36,148.0,0,3.0,0.12244897959183673,0.0
131,36,0.0,0.034258755269269914,36,148.0,0,3.0,0.12244897959183673,0.0
132,36,0.0,0.02126099154672345,36,148.0,0,3.0,0.12244897959183673,0.0
133,36,0.0,0.01387441167501624,36,148.0,0,3.0,0.12244897959183673,0.0
134,36,0.0,0.03701611445994968,36,148.0,0,3.0,0.12244897959183673,0.0
135,36,0.0,0.021947193040885105,36,148.0,0,3.0,0.12244897959183673,0.0
136,36,0.0,0.03513269578887557,36,148.0,0,3.0,0.12244897959183673,0.0
137,36,0.0,0.02064421760098889,36,148.0,0,3.0,0.12244897959183673,0.0
138,36,0.0,0.014323193368731113,36,148.0,0,3.0,0.12244897959183673,0.0
139,36,0.0,0.021874975734002655,36,148.0,0,3.0,0.12244897959183673,0.0
140,36,0.0,0.008715622197958628,36,148.0,0,3.0,0.12244897959183673,0.0
141,36,0.0,0.02354513254305357,36,148.0,0,3.0,0.12244897959183673,0.0
142,36,0.0,0.01971775574790058,36,148.0,0,3.0,0.12244897959183673,0.0
143,36,0.0,0.03673615077186676,36,148.0,0,3.0,0.12244897959183673,0.0
144,36,0.0,0.021005741467880923,36,148.0,0,3.0,0.12244897959183673,0.0
145,36,0.0,0.0013023400946244879,36,148.0,0,3.0,0.12244897959183673,0.0
146,36,0.0,0.011774985209537014,36,148.0,0,3.0,0.12244897959183673,0.0
147,36,0.0,0.007404709279266286,36,148.0,0,3.0,0.12244897959183673,0.0
148,36,0.0,0.027876583286531753,36,148.0,0,3.0,0.12244897959183673,0.0
149,36,0.0,0.012452212693699227,36,148.0,0,3.0,0.12244897959183673,0.0
