,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart,Percent Occupancy,Percent Vaccinated
0,36,0.0,0.021905530815114704,36,294.0,0,1.0,0.12244897959183673,0.0
1,36,0.0,0.011588947368995961,36,294.0,0,1.0,0.12244897959183673,0.0
2,36,0.0,0.02202619186047694,36,294.0,0,1.0,0.12244897959183673,0.0
3,36,0.0,0.016571232536234937,36,294.0,0,1.0,0.12244897959183673,0.0
4,36,0.0,0.0449329506116376,36,294.0,0,1.0,0.12244897959183673,0.0
5,36,0.0,0.009373021040116947,36,294.0,0,1.0,0.12244897959183673,0.0
6,36,0.0,0.02164409115101118,36,294.0,0,1.0,0.12244897959183673,0.0
7,36,0.0,0.042156186630630144,36,294.0,0,1.0,0.12244897959183673,0.0
8,36,0.0,0.033773319527439116,36,294.0,0,1.0,0.12244897959183673,0.0
9,36,0.0,0.004076166232529488,36,294.0,0,1.0,0.12244897959183673,0.0
10,36,0.0,0.03185343571031318,36,294.0,0,1.0,0.12244897959183673,0.0
11,36,0.0,0.01407681166072594,36,294.0,0,1.0,0.12244897959183673,0.0
12,36,0.0,0.02071133101440814,36,294.0,0,1.0,0.12244897959183673,0.0
13,36,0.0,0.0410007397278499,36,294.0,0,1.0,0.12244897959183673,0.0
14,36,0.0,0.033920443796931044,36,294.0,0,1.0,0.12244897959183673,0.0
15,36,0.0,0.017199720063008406,36,294.0,0,1.0,0.12244897959183673,0.0
16,36,0.0,0.030390490557036243,36,294.0,0,1.0,0.12244897959183673,0.0
17,36,0.0,0.01542425832521066,36,294.0,0,1.0,0.12244897959183673,0.0
18,36,0.0,0.01521879460494302,36,294.0,0,1.0,0.12244897959183673,0.0
19,36,0.0,0.024776221443238766,36,294.0,0,1.0,0.12244897959183673,0.0
20,36,0.0,0.03358902204926628,36,294.0,0,1.0,0.12244897959183673,0.0
21,36,0.0,0.037071785657821765,36,294.0,0,1.0,0.12244897959183673,0.0
22,36,0.0,0.03726255093710662,36,294.0,0,1.0,0.12244897959183673,0.0
23,36,0.0,0.05244024500888722,36,294.0,0,1.0,0.12244897959183673,0.0
24,36,0.0,0.034485072221883906,36,294.0,0,1.0,0.12244897959183673,0.0
25,36,0.0,0.02052959409020927,36,294.0,0,1.0,0.12244897959183673,0.0
26,36,0.0,0.04470303812565868,36,294.0,0,1.0,0.12244897959183673,0.0
27,36,0.0,0.0024112206646182965,36,294.0,0,1.0,0.12244897959183673,0.0
28,36,0.0,0.061683462158167446,36,294.0,0,1.0,0.12244897959183673,0.0
29,36,0.0,0.018630958883351978,36,294.0,0,1.0,0.12244897959183673,0.0
30,36,0.0,0.002279489100049048,36,294.0,0,1.0,0.12244897959183673,0.0
31,36,0.0,0.027570727600184752,36,294.0,0,1.0,0.12244897959183673,0.0
32,36,0.0,0.025386241791501618,36,294.0,0,1.0,0.12244897959183673,0.0
33,36,0.0,0.015445117823092658,36,294.0,0,1.0,0.12244897959183673,0.0
34,36,0.0,0.04609797915160052,36,294.0,0,1.0,0.12244897959183673,0.0
35,36,0.0,0.04960168786463559,36,294.0,0,1.0,0.12244897959183673,0.0
36,36,0.0,0.03907347022583574,36,294.0,0,1.0,0.12244897959183673,0.0
37,36,0.0,0.006469624233380711,36,294.0,0,1.0,0.12244897959183673,0.0
38,36,0.0,0.044821892721483736,36,294.0,0,1.0,0.12244897959183673,0.0
39,36,0.0,0.015557133162520054,36,294.0,0,1.0,0.12244897959183673,0.0
40,36,0.0,0.06006015320652902,36,294.0,0,1.0,0.12244897959183673,0.0
41,36,0.0,0.004971425956611042,36,294.0,0,1.0,0.12244897959183673,0.0
42,36,0.0,0.02518418507949982,36,294.0,0,1.0,0.12244897959183673,0.0
43,36,0.0,0.030112413985424413,36,294.0,0,1.0,0.12244897959183673,0.0
